Database S1.1,,,,,,,,,
Known perovskites,,,,,,,,,
Compound,Source (ICSD ID or reference),A,,B,,B’,,X,
Ba2CdWO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Cd,2,W,6,O,-2
Ba2CeIrO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ce,4,Ir,4,O,-2
Ba2CeNbO6,186211,Ba,2,Ce,3,Nb,5,O,-2
Ba2CePtO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ce,4,Pt,4,O,-2
Ba2CePuO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ce,3,Pu,5,O,-2
Ba2CeSnO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ce,4,Sn,4,O,-2
Ba2CeTaO6,186212,Ba,2,Ce,3,Ta,5,O,-2
Ba2CeUO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ce,3,U,5,O,-2
Ba2CoMoO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Co,2,Mo,6,O,-2
Ba2CoNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Co,3,Nb,5,O,-2
Ba2CoReO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Co,2,Re,6,O,-2
Ba2CoTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Co,3,Ta,5,O,-2
Ba2CoTeO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Co,2,Te,6,O,-2
Ba2CoUO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Co,2,U,6,O,-2
Ba2CoWO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Co,2,W,6,O,-2
Ba2CrBiO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Cr,3,Bi,5,O,-2
Ba2CrMoO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Cr,3,Mo,5,O,-2
Ba2CrTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Cr,3,Ta,5,O,-2
Ba2CrUO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Cr,3,U,5,O,-2
Ba2CuOsO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Cu,2,Os,6,O,-2
Ba2CuUO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Cu,2,U,6,O,-2
Ba2DyBiO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Dy,3,Bi,5,O,-2
Ba2DyIrO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Dy,3,Ir,5,O,-2
Ba2DyMoO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Dy,3,Mo,5,O,-2
Ba2DyNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Dy,3,Nb,5,O,-2
Ba2DyOsO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Dy,3,Os,5,O,-2
Ba2DyReO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Dy,3,Re,5,O,-2
Ba2DyRuO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Dy,3,Ru,5,O,-2
Ba2DySbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Dy,3,Sb,5,O,-2
Ba2DyTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Dy,3,Ta,5,O,-2
Ba2DyUO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Dy,3,U,5,O,-2
Ba2DyWO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Dy,3,W,5,O,-2
Ba2ErBiO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Er,3,Bi,5,O,-2
Ba2ErIrO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Er,3,Ir,5,O,-2
Ba2ErMoO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Er,3,Mo,5,O,-2
Ba2ErNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Er,3,Nb,5,O,-2
Ba2ErOsO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Er,3,Os,5,O,-2
Ba2ErReO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Er,3,Re,5,O,-2
Ba2ErRuO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Er,3,Ru,5,O,-2
Ba2ErSbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Er,3,Sb,5,O,-2
Ba2ErTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Er,3,Ta,5,O,-2
Ba2ErUO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Er,3,U,5,O,-2
Ba2EuBiO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Eu,3,Bi,5,O,-2
Ba2EuIrO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Eu,3,Ir,5,O,-2
Ba2EuMoO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Eu,3,Mo,5,O,-2
Ba2EuNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Eu,3,Nb,5,O,-2
Ba2EuOsO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Eu,3,Os,5,O,-2
Ba2EuReO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Eu,3,Re,5,O,-2
Ba2EuRuO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Eu,3,Ru,5,O,-2
Ba2EuSbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Eu,3,Sb,5,O,-2
Ba2EuTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Eu,3,Ta,5,O,-2
Ba2EuUO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Eu,3,U,5,O,-2
Ba2EuWO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Eu,3,W,5,O,-2
Ba2FeBiO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Fe,3,Bi,5,O,-2
Ba2FeMoO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Fe,3,Mo,5,O,-2
Ba2FeNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Fe,3,Nb,5,O,-2
Ba2FeReO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Fe,3,Re,5,O,-2
Ba2FeSbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Fe,3,Sb,5,O,-2
Ba2FeTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Fe,3,Ta,5,O,-2
Ba2FeUO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Fe,3,U,5,O,-2
Ba2FeWO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Fe,2,W,6,O,-2
Ba2GaNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ga,3,Nb,5,O,-2
Ba2GaTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ga,3,Ta,5,O,-2
Ba2GdBiO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Gd,3,Bi,5,O,-2
Ba2GdIrO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Gd,3,Ir,5,O,-2
Ba2GdMoO6,236360,Ba,2,Gd,3,Mo,5,O,-2
Ba2GdNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Gd,3,Nb,5,O,-2
Ba2GdOsO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Gd,3,Os,5,O,-2
Ba2GdReO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Gd,3,Re,5,O,-2
Ba2GdRuO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Gd,3,Ru,5,O,-2
Ba2GdSbO6,33618,Ba,2,Gd,3,Sb,5,O,-2
Ba2GdTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Gd,3,Ta,5,O,-2
Ba2GdUO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Gd,3,U,5,O,-2
Ba2GdWO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Gd,3,W,5,O,-2
Ba2GeUO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ge,4,U,4,O,-2
Ba2HfUO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Hf,4,U,4,O,-2
Ba2HgUO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Hg,2,U,6,O,-2
Ba2HoBiO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ho,3,Bi,5,O,-2
Ba2HoIrO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ho,3,Ir,5,O,-2
Ba2HoNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ho,3,Nb,5,O,-2
Ba2HoOsO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ho,3,Os,5,O,-2
Ba2HoReO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ho,3,Re,5,O,-2
Ba2HoRuO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ho,3,Ru,5,O,-2
Ba2HoSbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ho,3,Sb,5,O,-2
Ba2HoTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ho,3,Ta,5,O,-2
Ba2HoUO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ho,3,U,5,O,-2
Ba2InBiO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,In,3,Bi,5,O,-2
Ba2InNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,In,3,Nb,5,O,-2
Ba2InOsO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,In,3,Os,5,O,-2
Ba2InPuO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,In,3,Pu,5,O,-2
Ba2InReO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,In,3,Re,5,O,-2
Ba2InSbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,In,3,Sb,5,O,-2
Ba2InTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,In,3,Ta,5,O,-2
Ba2InUO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,In,3,U,5,O,-2
Ba2LaBiO6,195218,Ba,2,La,3,Bi,5,O,-2
Ba2LaIrO6,174140,Ba,2,La,3,Ir,5,O,-2
Ba2LaNbO6,172403,Ba,2,La,3,Nb,5,O,-2
Ba2LaOsO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,La,3,Os,5,O,-2
Ba2LaPuO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,La,3,Pu,5,O,-2
Ba2LaReO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,La,3,Re,5,O,-2
Ba2LaRuO6,37027,Ba,2,La,3,Ru,5,O,-2
Ba2LaSbO6,151816,Ba,2,La,3,Sb,5,O,-2
Ba2LaTaO6,160168,Ba,2,La,3,Ta,5,O,-2
Ba2LaUO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,La,3,U,5,O,-2
Ba2LiIO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Li,1,I,7,O,-2
Ba2LiOsO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Li,1,Os,7,O,-2
Ba2LiReO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Li,1,Re,7,O,-2
Ba2LuBiO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Lu,3,Bi,5,O,-2
Ba2LuIrO6,88158,Ba,2,Lu,3,Ir,5,O,-2
Ba2LuMoO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Lu,3,Mo,5,O,-2
Ba2LuNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Lu,3,Nb,5,O,-2
Ba2LuOsO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Lu,3,Os,5,O,-2
Ba2LuReO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Lu,3,Re,5,O,-2
Ba2LuRuO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Lu,3,Ru,5,O,-2
Ba2LuSbO6,33622,Ba,2,Lu,3,Sb,5,O,-2
Ba2LuTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Lu,3,Ta,5,O,-2
Ba2LuUO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Lu,3,U,5,O,-2
Ba2MgMoO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Mg,2,Mo,6,O,-2
Ba2MgNpO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Mg,2,Np,6,O,-2
Ba2MgOsO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Mg,2,Os,6,O,-2
Ba2MgPuO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Mg,2,Pu,6,O,-2
Ba2MgReO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Mg,2,Re,6,O,-2
Ba2MgTeO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Mg,2,Te,6,O,-2
Ba2MgUO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Mg,2,U,6,O,-2
Ba2MgWO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Mg,2,W,6,O,-2
Ba2MnMoO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Mn,2,Mo,6,O,-2
Ba2MnNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Mn,3,Nb,5,O,-2
Ba2MnPuO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Mn,2,Pu,6,O,-2
Ba2MnReO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Mn,2,Re,6,O,-2
Ba2MnTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Mn,3,Ta,5,O,-2
Ba2MnTeO6,407802,Ba,2,Mn,2,Te,6,O,-2
Ba2MnUO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Mn,2,U,6,O,-2
Ba2MnWO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Mn,2,W,6,O,-2
Ba2NaIO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Na,1,I,7,O,-2
Ba2NaOsO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Na,1,Os,7,O,-2
Ba2NaReO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Na,1,Re,7,O,-2
Ba2NdBiO6,80900,Ba,2,Nd,3,Bi,5,O,-2
Ba2NdIrO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Nd,3,Ir,5,O,-2
Ba2NdMoO6,172386,Ba,2,Nd,3,Mo,5,O,-2
Ba2NdNbO6,172404,Ba,2,Nd,3,Nb,5,O,-2
Ba2NdOsO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Nd,3,Os,5,O,-2
Ba2NdPuO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Nd,3,Pu,5,O,-2
Ba2NdReO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Nd,3,Re,5,O,-2
Ba2NdRuO6,90641,Ba,2,Nd,3,Ru,5,O,-2
Ba2NdSbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Nd,3,Sb,5,O,-2
Ba2NdTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Nd,3,Ta,5,O,-2
Ba2NdUO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Nd,3,U,5,O,-2
Ba2NdWO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Nd,3,W,5,O,-2
Ba2NiMoO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ni,2,Mo,6,O,-2
Ba2NiNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ni,3,Nb,5,O,-2
Ba2NiReO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ni,2,Re,6,O,-2
Ba2NiUO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ni,2,U,6,O,-2
Ba2NiWO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ni,2,W,6,O,-2
Ba2PbMoO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Pb,2,Mo,6,O,-2
Ba2PbPuO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Pb,2,Pu,6,O,-2
Ba2PbUO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Pb,2,U,6,O,-2
Ba2PrIrO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Pr,4,Ir,4,O,-2
Ba2PrNbO6,88838,Ba,2,Pr,3,Nb,5,O,-2
Ba2PrOsO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Pr,3,Os,5,O,-2
Ba2PrPtO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Pr,4,Pt,4,O,-2
Ba2PrRuO6,290819,Ba,2,Pr,3,Ru,5,O,-2
Ba2PrSbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Pr,3,Sb,5,O,-2
Ba2PrSnO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Pr,4,Sn,4,O,-2
Ba2PrTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Pr,3,Ta,5,O,-2
Ba2PrWO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Pr,3,W,5,O,-2
Ba2RhNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Rh,3,Nb,5,O,-2
Ba2ScBiO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Sc,3,Bi,5,O,-2
Ba2ScIrO6,88153,Ba,2,Sc,3,Ir,5,O,-2
Ba2ScNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Sc,3,Nb,5,O,-2
Ba2ScOsO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Sc,3,Os,5,O,-2
Ba2ScReO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Sc,3,Re,5,O,-2
Ba2ScSbO6,33623,Ba,2,Sc,3,Sb,5,O,-2
Ba2ScTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Sc,3,Ta,5,O,-2
Ba2ScUO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Sc,3,U,5,O,-2
Ba2SmBiO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Sm,3,Bi,5,O,-2
Ba2SmIrO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Sm,3,Ir,5,O,-2
Ba2SmMoO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Sm,3,Mo,5,O,-2
Ba2SmNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Sm,3,Nb,5,O,-2
Ba2SmOsO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Sm,3,Os,5,O,-2
Ba2SmReO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Sm,3,Re,5,O,-2
Ba2SmRuO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Sm,3,Ru,5,O,-2
Ba2SmSbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Sm,3,Sb,5,O,-2
Ba2SmTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Sm,3,Ta,5,O,-2
Ba2SmUO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Sm,3,U,5,O,-2
Ba2SmWO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Sm,3,W,5,O,-2
Ba2SrMoO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Sr,2,Mo,6,O,-2
Ba2SrNpO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Sr,2,Np,6,O,-2
Ba2SrOsO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Sr,2,Os,6,O,-2
Ba2SrPuO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Sr,2,Pu,6,O,-2
Ba2SrReO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Sr,2,Re,6,O,-2
Ba2SrTeO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Sr,2,Te,6,O,-2
Ba2SrUO6,62540,Ba,2,Sr,2,U,6,O,-2
Ba2SrWO6,245596,Ba,2,Sr,2,W,6,O,-2
Ba2TbBiO6,80901,Ba,2,Tb,3,Bi,5,O,-2
Ba2TbIrO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Tb,3,Ir,5,O,-2
Ba2TbNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Tb,3,Nb,5,O,-2
Ba2TbOsO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Tb,3,Os,5,O,-2
Ba2TbReO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Tb,3,Re,5,O,-2
Ba2TbSbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Tb,3,Sb,5,O,-2
Ba2TbSnO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Tb,4,Sn,4,O,-2
Ba2TbTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Tb,3,Ta,5,O,-2
Ba2TiNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ti,3,Nb,5,O,-2
Ba2TiPuO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ti,4,Pu,4,O,-2
Ba2TiTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ti,3,Ta,5,O,-2
Ba2TiUO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ti,4,U,4,O,-2
Ba2TlBiO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Tl,3,Bi,5,O,-2
Ba2TlSbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Tl,3,Sb,5,O,-2
Ba2TlTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Tl,3,Ta,5,O,-2
Ba2TmBiO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Tm,3,Bi,5,O,-2
Ba2TmIrO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Tm,3,Ir,5,O,-2
Ba2TmNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Tm,3,Nb,5,O,-2
Ba2TmOsO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Tm,3,Os,5,O,-2
Ba2TmReO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Tm,3,Re,5,O,-2
Ba2TmRuO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Tm,3,Ru,5,O,-2
Ba2TmSbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Tm,3,Sb,5,O,-2
Ba2TmTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Tm,3,Ta,5,O,-2
Ba2VNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,V,3,Nb,5,O,-2
Ba2VTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,V,3,Ta,5,O,-2
Ba2YbBiO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Yb,3,Bi,5,O,-2
Ba2YBiO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Y,3,Bi,5,O,-2
Ba2YbIrO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Yb,3,Ir,5,O,-2
Ba2YbMoO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Yb,3,Mo,5,O,-2
Ba2YbNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Yb,3,Nb,5,O,-2
Ba2YbOsO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Yb,3,Os,5,O,-2
Ba2YbReO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Yb,3,Re,5,O,-2
Ba2YbRuO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Yb,3,Ru,5,O,-2
Ba2YbSbO6,33621,Ba,2,Yb,3,Sb,5,O,-2
Ba2YbTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Yb,3,Ta,5,O,-2
Ba2YbUO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Yb,3,U,5,O,-2
Ba2YIrO6,88155,Ba,2,Y,3,Ir,5,O,-2
Ba2YMoO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Y,3,Mo,5,O,-2
Ba2YNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Y,3,Nb,5,O,-2
Ba2YOsO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Y,3,Os,5,O,-2
Ba2YReO6,97089,Ba,2,Y,3,Re,5,O,-2
Ba2YRuO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Y,3,Ru,5,O,-2
Ba2YSbO6,33624,Ba,2,Y,3,Sb,5,O,-2
Ba2YTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Y,3,Ta,5,O,-2
Ba2YUO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Y,3,U,5,O,-2
Ba2YVO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Y,3,V,5,O,-2
Ba2ZnMoO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Zn,2,Mo,6,O,-2
Ba2ZnOsO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Zn,2,Os,6,O,-2
Ba2ZnPuO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Zn,2,Pu,6,O,-2
Ba2ZnReO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Zn,2,Re,6,O,-2
Ba2ZnUO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Zn,2,U,6,O,-2
Ba2ZnWO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Zn,2,W,6,O,-2
Ba2ZrUO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Zr,4,U,4,O,-2
Ba3OsO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ba,2,Os,6,O,-2
Ba3ReO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ba,2,Re,6,O,-2
Ba3UO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ba,2,U,6,O,-2
Ba3WO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ba,2,W,6,O,-2
Bi2CuMnO6,Prog. In Solid State Chem. 43 1-36 (2015),Bi,3,Cu,2,Mn,4,O,-2
Bi2FeRhO6,Prog. In Solid State Chem. 43 1-36 (2015),Bi,3,Fe,3,Rh,3,O,-2
Ca2AlNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Al,3,Nb,5,O,-2
Ca2AlSbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Al,3,Sb,5,O,-2
Ca2BiNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Bi,3,Nb,5,O,-2
Ca2BiTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Bi,3,Ta,5,O,-2
